12:04, Wednesday, June 10, 2015
Study name: Static 2
Units :N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
154  ,-8.12826e+003  ,-3.45669e+003  ,-1.09879e+003  ,-2.98622e+003  ,3.77468e+002  ,3.14574e+002
155  ,-6.43446e+003  ,5.85721e+001  ,1.46728e+002  ,-6.10583e+002  ,-2.11592e+002  ,4.29813e+001
156  ,-4.70833e+003  ,3.97188e+001  ,4.78838e+001  ,-1.54226e+002  ,-1.64827e+002  ,2.13416e+001
157  ,-3.37895e+003  ,7.09723e+000  ,1.58644e+000  ,-1.93754e+002  ,-1.53648e+002  ,-5.72148e-001
158  ,-1.94152e+003  ,7.35686e+000  ,-5.31972e+000  ,-2.14088e+002  ,-1.55571e+002  ,-5.38337e+000
159  ,-4.33730e+002  ,1.35347e+001  ,-6.78171e+000  ,-2.24786e+002  ,-1.55337e+002  ,-1.01252e+001
160  ,1.06474e+003  ,2.23833e+001  ,-1.38419e+001  ,-2.16844e+002  ,-1.43729e+002  ,-1.22066e+001
161  ,2.35798e+003  ,3.33025e+001  ,7.32508e-001  ,-1.52527e+002  ,-9.61048e+001  ,-2.10690e+001
162  ,2.95874e+003  ,7.19291e+000  ,-2.12325e+001  ,-6.46379e+000  ,-2.56113e+001  ,-1.96875e+001
163  ,2.64363e+003  ,-1.73651e+001  ,-1.05276e+001  ,1.31198e+002  ,6.48121e+001  ,-1.86674e+001
164  ,1.53904e+003  ,-4.20192e+001  ,-2.58398e+001  ,1.92823e+002  ,1.23345e+002  ,-1.60602e+001
165  ,3.55715e+002  ,-1.53967e+000  ,-2.56246e+001  ,1.12885e+002  ,8.60518e+001  ,-4.32179e+000
166  ,-1.07417e+002  ,-3.82883e+001  ,1.54696e+001  ,-1.38135e+002  ,-4.69017e+000  ,1.44841e+001
167  ,-5.39657e+001  ,-1.28237e+002  ,-1.82244e+002  ,-1.12990e+002  ,2.06640e+001  ,-3.97642e+001
168  ,-7.65523e+001  ,-8.88209e+001  ,-4.51159e+002  ,-9.32132e+001  ,2.36574e+000  ,-7.47630e+000
169  ,-8.18108e+001  ,-8.69180e+001  ,-5.72616e+002  ,-8.94817e+001  ,-3.08995e+000  ,-2.91830e+000
170  ,-8.60181e+001  ,-8.24206e+001  ,-5.89656e+002  ,-1.02389e+002  ,-1.82266e+000  ,6.40774e-001
171  ,-8.96354e+001  ,-8.49636e+001  ,-5.89693e+002  ,-1.01309e+002  ,8.64212e-001  ,-2.62143e-001
172  ,-8.42770e+001  ,-8.68457e+001  ,-5.93251e+002  ,-1.02063e+002  ,1.90516e+000  ,2.26686e+000
173  ,-8.40808e+001  ,-8.57000e+001  ,-5.74466e+002  ,-1.00172e+002  ,2.93351e+000  ,7.17207e+000
174  ,-7.92053e+001  ,-9.28022e+001  ,-4.75608e+002  ,-9.33528e+001  ,-1.24447e+001  ,1.42265e+001
175  ,-7.89306e+001  ,-8.23275e+001  ,-2.22788e+002  ,-9.30902e+001  ,-1.44354e+001  ,2.19998e+001
176  ,-9.08288e+001  ,-8.94285e+001  ,3.24569e+001  ,-1.09547e+002  ,1.37721e+001  ,-1.97094e+001
177  ,3.97879e+002  ,9.23167e+000  ,-2.50299e+001  ,1.29818e+002  ,-8.87855e+001  ,-1.95158e+000
178  ,1.53591e+003  ,-3.89668e+001  ,-6.17357e+000  ,2.09189e+002  ,-1.17073e+002  ,1.51418e+001
179  ,2.63403e+003  ,-1.79902e+001  ,-4.61586e+000  ,1.25775e+002  ,-6.64472e+001  ,1.84370e+001
180  ,2.96331e+003  ,9.11455e+000  ,-9.66455e+000  ,-4.56136e+000  ,2.58022e+001  ,1.85373e+001
181  ,2.35854e+003  ,3.03260e+001  ,-6.71263e+000  ,-1.53968e+002  ,9.96997e+001  ,1.66253e+001
182  ,1.07738e+003  ,2.70915e+001  ,-9.36479e+000  ,-2.17791e+002  ,1.40943e+002  ,1.38489e+001
183  ,-4.33882e+002  ,1.32431e+001  ,-7.04386e+000  ,-2.25575e+002  ,1.55574e+002  ,9.20624e+000
184  ,-1.94370e+003  ,4.68773e+000  ,-3.46117e+000  ,-2.16437e+002  ,1.56588e+002  ,3.31176e+000
185  ,-3.37381e+003  ,4.78824e+000  ,2.84717e+000  ,-1.99259e+002  ,1.57225e+002  ,8.60095e-001
